premise,choice1,choice2,question,label,idx,changed
Caeu a tarxeta de crédito do comerciante.,Escribiu iou.,Pagou en efectivo.,effect,1,267,False
O home maldicía.,Cortou as uñas.,Foi golpeado no dedo.,effect,1,268,False
O home finxiu ser por mor do seu irmán.,O seu irmán recibiu un argumento polos seus pais.,O seu irmán foi ingresado na facultade de dereito.,cause,1,269,False
A rapaza quería aprender sobre a enerxía solar.,Foi á biblioteca.,Mirou as estrelas.,effect,0,270,False
O cartel pegado na parede.,Puxen un cartel sobre a porta.,Puxen unha cinta nas costelas.,cause,1,271,False
O cliente aprobou os plans do arquitecto para o edificio.,O arquitecto deseñou o edificio.,O arquitecto revisou os plans.,effect,0,272,False
O home deixou caer a culler.,A súa man tremía.,Lamía a culler.,cause,0,273,False
O conselleiro delegado da compañía dimitiu.,O consello de administración disolveu a empresa.,O consello de administración buscou un substituto.,effect,1,274,False
Cheguei tarde chegando á conferencia.,Sentei na fila traseira.,Achegueime ao podio.,effect,0,275,False
O home foi liberado da prisión.,A súa familia pagou a súa débeda.,Atacou aos seus compañeiros prisioneiros.,cause,0,276,False
A familia perdeu todas as súas posesións.,Venderon a súa casa.,A súa casa queimouse.,cause,1,277,False
Fun golpeado nun bote de aluminio.,A botella estaba sendo reparada.,A solicitude foi golpeada.,effect,1,278,False
A rapaza uniuse ao equipo de discusión.,Aprendeu a usar ordenadores.,Aprendeu habilidades de conversación.,effect,1,279,False
Os meus sentimentos reforzáronse.,Escoitei música.,Fixen macetas.,cause,0,280,False
A organización benéfica propúxose recadar fondos.,Alimentaron aos sen teito.,Tiñan unha poxa.,effect,1,281,False
O reparto caeu por unha pendente abrupta.,Os pasaxeiros riron.,Berraron os pasaxeiros.,effect,1,282,False
Estaba enfadado.,Comprobei a caixa de correo mentres saín da casa.,Chamei á porta mentres saía da casa.,effect,1,283,False
O home quería ver o amencer.,Viaxou cara ao norte.,Espertou cedo.,effect,1,284,False
Dobreu o papel.,Realizei o papel.,O papel estaba rasgado.,effect,1,285,False
O país foi golpeado por un desastre natural.,Os líderes doutros países formaron alianzas.,Os líderes doutros países enviaron axuda de emerxencia.,effect,1,286,False
A roupa do neno levábase.,Subiu sobre a piscina.,Caeu nunha piscina.,cause,1,287,False
O alumno rematou rapidamente o libro.,Foi polo desexo de restaurar a biblioteca.,Prestouno ao seu amigo.,cause,0,288,False
O criminal foi asasinado.,Foi enviado a prisión.,Foi condenado á morte.,cause,1,289,False
A luz solar entrou na habitación.,Abrín a cortina.,Abrín a porta.,cause,0,290,False
Tirei o pelo do escultor.,O seu pelo artificial caeu.,Afeitou a cabeza.,effect,0,291,False
O editor referiuse á frase no proxecto de lei.,Atopou a factura convincente.,Atopou a frase controvertida.,cause,1,292,False
A muller cancelou a súa conta de tarxeta de crédito.,Descubriu que a tarxeta non existía.,Descubriu a data de caducidade da tarxeta.,effect,0,293,True
O home e a muller namoráronse.,Asistiron á universidade.,Casáronse.,effect,1,294,False
A música era demasiado débil para escoitar.,Engadín o son.,Compuxen a miña propia canción.,effect,0,295,False
O pelo do neno estaba parado.,A rapaza agarrouse no pelo.,A rapaza sacou o pelo.,effect,0,296,True
O verme foi espremido.,Pulverizábame con repelente de insectos.,Pisei o erro.,effect,1,297,False
Abrín os ollos.,Espertei.,Eu descansei.,cause,0,298,False
A música do meu veciño chorou.,Pedinlle que baixe a voz.,Pedinlle que apague o CD.,effect,0,299,False
A familia do home viviu unha vida de pobreza.,Riu dos seus ingresos.,Gañou menos do salario mínimo.,cause,1,300,False
O estudante graduouse na universidade.,Buscou un traballo.,Fixo o que amaba.,effect,0,301,False
O artista mesturado amarelo en azul.,A cor estendeuse por todo o lugar.,A cor volveuse verde.,effect,1,302,False
Cambiei o tema da conversa.,Quedei sen cousas das que falar.,As conversas fixéronse difíciles.,effect,1,303,True
O meu irmán foi liberado do hospital.,Acolleuno de volta á casa.,Rexeiteino.,effect,0,304,False
A cortina da plataforma subiu.,Comezou a escena inicial do drama.,Os actores emocionaron o escenario.,effect,0,305,False
Teka foi enviado á autoridade dos secuestradores.,O secuestrador ameazou con ferir ao secuestrador.,A secuestradora deixouna secuestrar.,cause,0,306,False
Un berro sonou desde a plataforma.,O músico pateoulle a perna.,O músico interpretou unha serie de tambores.,cause,1,307,False
Os pais precipitáronse ao dormitorio do seu fillo.,O bebé espertou e gritou do pesadelo.,O bebé tiña medo de saír da cama.,cause,0,308,False
A muller comunicouse en lingua de signos.,Naceu prematuramente.,Naceu xordo.,cause,1,309,False
A seca produciuse na rexión.,A auga contaminouse.,Perdeuse os rendementos.,effect,1,310,False
O gato perseguía o paxaro.,O avión voou.,O avión colleu adestramento.,effect,0,311,False
A rapaza cambiou as escolas.,A escola estaba pechada para o verán.,Trasladouse a unha nova cidade.,cause,1,312,False
O propietario da fábrica negouse a aumentar os salarios dos empregados.,O propietario designou un novo xestor.,Os empregados foron de folga.,effect,1,313,False
O líder provocou aos poderosos no medio do seu país.,O poderoso persuadiuno.,O poderoso matouno.,effect,1,314,False
Camiñei só na praia.,A area conxelouse aos meus pés.,As ondas estreláronse na costa.,effect,0,315,False
Espertei no medio da noite sentíndome frío.,Eu levaba pantalóns lixeiros.,Bebín un vaso de auga.,effect,0,316,False
A nai calou ao seu fillo.,O seu bebé sorriu.,O seu fillo queixouse.,cause,1,317,False
TOBO estalou nos meus jeans.,Desconcertei os meus jeans.,Quedei atrapado no camiño dos peóns.,cause,1,318,False
O rapaz levaba un gango.,Tivo un burato nos dentes.,Os seus dentes fixéronse rectos.,effect,1,319,False
Onte traballei moito no ximnasio.,Hoxe espertei coa dor muscular.,Hoxe espertei cunha dor de garganta.,effect,0,320,False
A rapaza murmurou e estendeuse a todos na mesa do xantar.,Os outros estudantes sentáronse na mesa do xantar.,Os outros estudantes da mesa da cea sentíronse obrigados a marchar.,effect,1,321,False
O bebé baixou ao trampolín.,Volveu cara ao ceo.,Decidiu intentar rodar no aire.,effect,0,322,False
Enviei a carta na caixa de correo.,A oficina de correos recibiu unha carta.,A oficina de correos acelerou a carta.,effect,0,323,False
O xogador estaba confiado.,Depositou todo o seu diñeiro.,Foi a casa en bancarrota.,effect,0,324,False
Os incendios forestais estendéronse.,O vento era forte.,Tomáronse os incendiarios.,cause,0,325,False
O neno rabuñou a pel nos seus pés.,A súa nai levouno ao seu cuarto.,A súa nai puxo un vendaje sobre a ferida.,effect,1,326,False
O home sobreviviu á praga.,Asinou a súa vontade (consentimento).,Recibiu unha transferencia de ligazóns.,cause,1,327,False
Botei unha botella de café quente.,Morden a miña lingua.,Queimei a lingua.,effect,1,328,False
O editor despediu ao autor.,O autor evitou o sesgo nas súas historias.,O autor perdeu o prazo.,cause,1,329,False
Sentinme esgotado.,Durmín todo o día.,Lin todo o día.,cause,1,330,False
O médico identificou ao paciente.,Notou os síntomas do paciente.,Prescribiu pílulas para o paciente.,cause,0,331,False
Rasquei a pel.,Estaba suando.,Estaba ardendo.,cause,1,332,False
O home sufriu unha cirurxía de emerxencia.,Perdeu o temperamento.,Sufriu un ataque cardíaco.,cause,1,333,False
Os músculos das mans dun home estaban adormecidos.,Dobre os brazos.,Empuxou as mans.,cause,0,334,False
O home levantou as cellas.,Preguntábase.,Sentíase decepcionado.,cause,0,335,False
Perdoei o erro da miña parella.,Eu cría que as súas intencións eran boas.,Eu cría que se deu conta de mellor.,cause,0,336,False
O home deixou de fumar.,Comezou a practicar máis.,Comezou a camiñar cedo.,effect,0,337,False
A muller golpeou ao seu atacante no nariz.,O corpo do seu atacante morreu.,O atacante comezou a sangrar.,effect,1,338,False
A frecha perdeu o obxectivo.,O home dirixiu o mal.,O home estaba perdendo o xogo.,effect,0,339,False
O propietario afirmou que o destructor ía á súa casa.,Descubriu un rato baixo a casa.,Puxo unha caixa de formigas no seu cuarto.,cause,0,340,False
Eu suxerín ao meu convidado que saímos a cear.,Estaba demasiado canso para preparar calquera cousa.,O meu hóspede permaneceu moito tempo.,cause,0,341,False
A rapaza colleu ao seu irmán lendo o seu diario.,Comezou a ocultar o seu diario.,Conseguiu un novo diario.,effect,0,342,False
A muller quedou sen cartos por aluguer.,Traballou horas extras.,Deixou o seu traballo.,effect,0,343,False
A man do bebé foi de súpeto restaurada.,Tocou a cociña quente.,Tocou a cabeza do can.,cause,0,344,False
A compañía quixo medir a satisfacción do cliente.,Ofreceron descontos a novos clientes.,Fixeron investigacións sobre clientes.,effect,1,345,False
O chan de madeira rachou.,O rapaz botou as almofadas no sofá.,O rapaz arrastrou unha cadeira ao chan.,cause,1,346,False
Cubrín a cara.,O meu inimigo culpoume.,O meu inimigo apretou os puños.,cause,1,347,False
A famosa estatua queimada.,Foi impactado pola luz.,A xente chegou a renderlle homenaxe.,cause,0,348,False
Eliminei a froita sobre a mesa.,A froita produciu sementes.,As moscas rodeaban a froita.,effect,1,349,False
A xogadora feminina dividiu as fibras.,Sinalou os dedos dos pés.,Sacudiu o nocello.,cause,1,350,False
A correa do zapato do bebé foi desatada.,Aprendeu a pechalo.,Foi correndo no parque infantil.,cause,1,351,False
Quedei fascinado polo libro.,Voltei o libro.,Perdín moito tempo.,effect,1,352,False
O home tiña as mesmas crenzas que os seus pais.,Os seus pais a persuadiron.,Os seus pais rexeitárono.,effect,0,353,False
O coche comezou a parar lentamente.,Quedou sen gas.,O condutor quedou durmido.,cause,0,354,False
O home comeu xeado ao sol.,O xeado perdeu o sabor.,O xeado caeu do cono.,effect,1,355,False
Colguei o debuxo no armario.,A alfombra parecía sucia.,As paredes parecían baleiras.,cause,1,356,False
Deixei o meu traballo cedo.,Tiven dor de cabeza.,O meu xefe dirixiu a reunión.,cause,0,357,False
O cachorro suciou a alfombra.,El mesmo reprochou ao cadelo.,El mesmo deu o agasallo ao cadelo.,effect,0,358,False
Pedín desculpas ao meu amigo.,O meu amigo perdooume.,O meu amigo estaba enfadado.,effect,0,359,False
O home era diferente da multitude.,Levaba unha bolsa de ombreiro.,Levaba unha camiseta de neón.,effect,1,360,False
A testemuña xurou ao xuramento.,Completou o seu testemuño.,Foi falsamente acusado.,effect,1,361,False
A muller tinguiu o pelo.,Quería parecer novo.,Quería mesturalos.,cause,0,362,False
Os inmigrantes foron arrestados por vivir ilegalmente no país.,Conseguiron emprego.,Foron eliminados do país.,effect,1,363,False
O orador público fixo unha broma.,O público chorou.,O público parou.,effect,0,364,False
Mirei o sol.,O sol bateu sobre min.,O sol suavizou a miña pel.,effect,0,365,False
Sentinme canso.,Respirei profundamente polo nariz.,Fun á miña casa.,effect,1,366,False
A carne era difícil de cortar.,Faltaba o coitelo.,A carne era crúa.,cause,0,367,False
A muller declarou a bancarrota.,Recibiu un pago en metálico.,Recibiu unha enorme débeda.,cause,1,368,False
As luces do apartamento do meu amigo estaban acendidas.,Preguntábame se estaba fóra.,Decidín visitala.,effect,1,369,False
Puxen unha flor baixo o nariz.,Os pétalos proporcionaban flores.,Eu cheiraba o cheiro a ou.,effect,1,370,False
A muller foi arrebatada por pensamentos positivos.,Levouse ben co seu amigo da súa infancia.,Ela gritou aos seus fillos.,effect,0,371,False
O alumno aprazou o papel.,Enviou o papel cedo.,Enviou o papel inacabado.,effect,1,372,False
O meu coche rompeu.,Fun ás tendas.,Chamei a un mecánico.,effect,1,373,False
Rexeitei o texto.,Non era descoñecido.,Era ilexible.,cause,1,374,False
O paxaro flutou as ás.,Puxo ovos.,Ascendeu ao alto.,effect,1,375,False
Aparqueino nunha pequena calzada ata o garaxe.,O garaxe estaba aberto.,O garaxe estaba cheo.,cause,1,376,False
O delincuente pretendía disparar á vítima.,O criminal deixou a arma.,O criminal levantou a man.,effect,1,377,False
Estaba desexando a fin de semana.,Planeaba asistir ao funeral do meu tío.,Planeaba asistir á voda do meu amigo.,cause,1,378,False
Perdín moito tempo.,Tiven moitas boas ideas.,Eu era náuseas.,cause,0,379,False
O texto imprimíase en documentos ilexibles.,A impresora tiña unha pequena tinta.,A impresora non levaba papel.,cause,0,380,False
O himno nacional xogouse nun estadio.,Os fans volvéronse á bandeira.,Os afeccionados correron cara ao estadio.,effect,0,381,False
A salsa carecía de sabor.,Manexo.,Engadín sal.,effect,1,382,False
Poño as toallas á luz.,A toalla absorbía o líquido.,A luz conservou a viscosidade.,effect,0,383,False
A muller interrompeu no medio de ler o seu libro.,Puxo unha marca no papel.,Leu de novo o libro.,effect,0,384,False
O avión estrelouse.,O home apertou o cinto de seguridade.,O home mirou pola fiestra.,effect,0,385,False
O rapaz quedou conmocionado.,A rapaza ignorouno.,A rapaza tocoulle co dedo.,effect,1,386,False
Os médicos déronlle ao paciente unha perna artificial.,Lanzaron a perna.,Xestionaron os seus órganos vitais.,cause,0,387,False
O rapaz apretou o pulso da nena.,Fixo un esforzo para mover o ombreiro.,El sacou a man dela.,effect,1,388,False
Pedinlle consello ao meu amigo.,Aprecio o seu comentario.,Decateime de que tiña razón.,cause,0,389,False
O rapaz pisouse no barro.,O barro rodouse nos seus zapatos.,O barro golpeoulle na cara.,effect,0,390,False
A cidade ten varios polgadas de neve.,As escolas estaban pechadas.,A xente escondía baixo terra.,effect,0,391,False
A quenda do empregado rematou.,Foi a casa un día.,Ameazou con deixar o seu traballo.,effect,0,392,False
Unha árbore destruíu a casa.,Unha árbore caeu no tellado.,A árbore lanzou unha sombra no xardín.,cause,0,393,False
A madeira rachada no medio.,Engadín madeira ao lume.,Baixei a machada para dirixir a madeira.,effect,1,394,False
A familia felicitou á parella.,A parella anunciou a súa separación.,A parella anunciou que tiñan un bebé.,cause,1,395,False
A rapaza entregoulle ao neno unha tarxeta.,Amábaa.,Bicouna.,cause,0,396,False
Sacudei a cabeza de acordo coa declaración do meu amigo.,Estaba confuso.,Estou de acordo con el.,effect,1,397,False
Os amigos balancearon a moeda.,Querían atopar o adecuado.,Querían tomar as decisións correctas.,cause,1,398,False
O reloxo apagouse na cociña.,O home descargou as verduras na neveira.,O home entregou a pizza á estufa.,effect,1,399,False
A muller puxo os obxectivos que quería.,Non o chegou.,Traballou duro.,effect,1,400,False
Un home rico morreu cun veterano.,O seu fillo tiña problemas legais.,O seu fillo herdou a súa riqueza.,effect,1,401,False
A muller pisou o lume.,O lume extinguiuse.,Fume abandonado do lume.,effect,0,402,False
O coche da muller estaba na sección de mantemento.,O carné de conducir caducara.,Tivo un accidente de coche.,cause,1,403,False
Quedei durmido e cruzei o meu reloxo.,Preparei o almorzo.,Botei de menos o almorzo.,effect,1,404,False
O xornalista saíu do coche de luxo.,A cámara parpadeou no seu lado.,A súa familia asistiu a unha conferencia de prensa.,effect,0,405,False
A muller sentouse durante moito tempo no baño.,A auga do baño estaba un pouco quente.,A auga do baño saíu do balón.,effect,0,406,False
Un estudante universitario quería ver máis estudantes no campus.,Apoiou a Irmandade.,Fixo un curso de enxeñaría.,effect,0,407,False
Levantei a almofada do coxín.,Buscaba moedas.,Estaba reordenando a sala de estar.,cause,0,408,False
Nyiga voou cara ao rapaz.,O rapaz fuxiu.,O rapaz colleu a flor.,effect,0,409,False
A muller foi condenada por un delito menor.,Foi condenado a realizar servizos sociais.,Foi colocado nunha morte.,effect,0,410,False
Axitou o azucre no té quente.,O té arrefriouse.,Azucre derretido.,effect,1,411,False
O veterano da guerra camiñou cun limpo.,Foi levado en batalla.,Foi ferido na batalla.,effect,1,412,False
O criminal fuxiu dos soldados.,O soldado foi ás vítimas.,O soldado perseguía ao criminal.,effect,1,413,False
O ordenador non se activaría.,Caín.,Engadín un cargo.,effect,0,414,False
O espazo do garda -roupa rematou para a muller.,Ten moita roupa.,Enrolou a roupa.,effect,0,415,False
O home foi devastado.,A súa muller deu a luz.,A súa muller abandonouno.,cause,1,416,False
O home obtivo un título.,Conseguiu as calidades do traballo que quería.,Eliminouse unha oferta para o seu traballo.,effect,0,417,False
A voz do home chegou a todas as partes da audiencia.,Saudou á audiencia.,Falou a través dun micrófono.,cause,1,418,False
Botei a moeda á auga.,A moeda afundiuse cara ao fondo.,A moeda parpadeou no medio.,effect,0,419,False
O xogador lanzou o balón cara ao eixe.,O balón entrou na gabia.,O balón volveu ao xogador.,effect,0,420,False
Inhalei o po no teito.,Fun á cociña.,Eu estornudei.,effect,1,421,False
O contador da tenda chamounos por seguridade.,O cliente gastou cartos falsificados.,O cliente deixou iluminar a súa lámpada dianteira.,cause,0,422,False
Botei o lixo.,O lixo trouxo un mal cheiro á cociña.,Por desgraza renunciou á miña lista de compras.,cause,0,423,False
A familia foi ao zoo.,Os nenos amaban os animais.,Os nenos perseguiron aos animais.,effect,0,424,False
O home inhala en voz alta.,Os riles negáronse.,Os pulmóns foron bloqueados.,cause,1,425,False
Tiven un billete adicional para o concerto.,Pedinlle ao meu amigo que me apuntase á escena.,Pregunteille á miña amiga se podía ir.,effect,1,426,False
O aire acondicionado resultou danado dentro da casa.,Saquei a manta.,Abrín a fiestra.,effect,1,427,False
As costas do neno ferían.,A bolsa de ombreiro estaba aberta.,A bolsa de ombreiro era pesada.,cause,1,428,False
Merquei a miña nai un agasallo.,Decorei o bolo para ela.,Foi o seu aniversario.,cause,1,429,False
As plantas con flores no xardín foron destruídas.,A abella picou ao agricultor.,Chindi escavou as lámpadas das plantas.,effect,1,430,False
Acendín un partido.,O lume esvaeceuse.,Brimstone xerou lume.,effect,1,431,False
Os partidos rivais asinaron un tratado.,Non querían discutir no xulgado.,Querían reavivar a súa relación.,cause,0,432,False
Os nenos foron enviados a un orfanato.,Os seus pais morreron.,Os seus pais destruíronos.,cause,0,433,False
O meteoro caeu no mar.,Golpeou un tsunami.,Comezou a sarabia.,effect,0,434,False
O vagabundo enfrontouse á serpe venenosa.,Estaba deshidratada.,Tiña medo.,effect,1,435,False
A estufa prendeu lume.,Acendín a cociña.,Botei a tixola á estufa.,cause,0,436,False
Presionou a pel de limón.,Limón fixo unha néboa.,Extraíuse limón.,effect,1,437,False
O país descubriu novas terras.,O país demoliu a terra.,O país gobernou a terra.,effect,1,438,False
O vaso caeu sobre a mesa.,Rompeu e estendeuse por todo o chan.,Colocouse nunha pila de roupa para ser lavada.,effect,0,439,False
A mesa sacudiu.,O chan non era exactamente o mesmo.,O chan era resbaladizo.,cause,0,440,False
Un pai colleu ao seu fillo durmido.,O seu fillo admitiu a verdade.,O Pai confiaba no seu fillo.,effect,0,441,False
A cabeza do home doeu.,Ela tragou unha pílula no peito.,Tragou aspirina.,effect,1,442,False
O tren diminuíu.,Estaba achegándose á estación.,Ía contra o seu horario.,cause,0,443,False
O home pasou por tratamento.,O seu familiar ten unha enfermidade mental.,Foi diagnosticada cun trastorno mental.,effect,1,444,False
A muller agarroulle a gorxa.,Tragou a súa comida.,Foi alimentado con comida.,cause,1,445,False
A muller tiña dor de garganta.,A súa voz era pesada.,Falou enfaticamente.,effect,0,446,False
O can mirou os lados da carne sobre a mesa.,El espetou.,Deitouse.,effect,0,447,False
O negocio da muller tivo éxito.,Despediu aos seus empregados.,Era rico.,effect,1,448,False
Os estudantes abandonaron a aula.,A campá soou.,O profesor deu os deberes.,cause,0,449,False
A muller afirmou ter visto un demo.,A súa comprensión mostrou sospeita.,A súa comprensión coincidiu co seu.,effect,0,450,False
O home perdeu a audición.,Case perdido no océano.,Está a piques de morrer nunha explosión.,cause,1,451,False
O neno cortou o cordón do globo.,O globo saíu do vento.,O globo entrou no aire.,effect,1,452,False
O home perdeu a súa capacidade para falar.,Tiña un ictus.,Respirou profundamente.,cause,0,453,False
Unha muller tropezou cun camiño de peón.,Houbo un crack no formigón.,Escoitou o seu nome chamado.,cause,0,454,False
O home lanzouse á piscina.,O salvador lanzouse detrás del.,O home afogou ao salvador.,effect,1,455,False
Tomei un antiséptico.,A miña enfermidade infecciosa desapareceu.,A miña enfermidade infecciosa estendeuse.,effect,0,456,False
O semáforo parpadeou amarelo.,O condutor aplicou os freos.,O condutor soprou o corno.,effect,0,457,False
O recipiente de plástico derreteuse.,Empapei a embarcación en auga quente.,Poño o recipiente na estufa quente.,cause,1,458,False
O coche rompeu.,O condutor pisou a punta do teléfono.,O condutor camiñaba mentres a luz vermella estaba acendida.,cause,0,459,False
O rapaz leu toda a noite.,Saltou a proba.,Pasou a proba.,effect,1,460,False
O pequeno aferrouse ao bordo da piscina.,Tiña medo de nadar.,O porteiro da piscina creceu alí.,effect,0,461,False
Puxen a man no peito.,Sentín o meu latido do corazón.,A frecuencia cardíaca aumentou.,effect,0,462,False
Un edificio preto da miña oficina estaba en construción.,A miña oficina estaba abarrotada.,A miña oficina era ruidosa.,effect,1,463,False
As familias querían coñecer aos seus novos veciños.,A familia convidou aos seus veciños a cear.,As familias agitaban aos seus veciños do seu xardín.,effect,0,464,False
A auga fluía fóra da piscina.,O nadador mergullouse na piscina.,O nadador flotou na piscina.,cause,0,465,False
Mastiquei un anaco de sandía.,Por desgraza traguei o campo.,Por desgraza cortei o dente.,effect,0,466,False
O rapaz tropezou.,O seu abrigo estaba descansado.,Os seus cordóns foron desatados.,cause,1,467,False
A muller levaba un pendente.,A el molestoulle o ruído.,Pierou as orellas.,cause,0,468,False
Reproducín a miña botella de auga.,Bebín toda a auga nela.,Puxérono na neveira.,cause,0,469,False
O programa de televisión foi evaluado polo seu idioma.,Tiña unha linguaxe ridícula.,Tiña unha estrutura dura.,cause,0,470,False
O barco estrelouse.,A tripulación afogouse.,A tripulación enfrontouse por piratas.,effect,0,471,False
O rapaz quedou perplexo polo enigma.,Resolveu o enigma.,Pediu unha pista.,effect,1,472,False
O teléfono soou.,O home perdeu o teléfono.,O home recibiu a chamada.,effect,1,473,False
A muller estaba mirando para min.,Abrazei.,Sentinme ansioso.,effect,1,474,False
O grupo seguiu sendo un museo.,Fixeron fotos da exposición.,Viron todos os programas.,cause,1,475,False
O home comezou a discutir coa mie.,O meu amigo presentoume a un home.,O meu amigo levantouse por min.,effect,1,476,False
A pelota da miña bicicleta durmía.,Poño o vento no neumático.,Cambiei de marcha na bicicleta.,effect,0,477,False
A rapaza parecía estar paralizada.,O seu pai leuna unha historia.,O seu pai tocoulle a testa.,effect,1,478,False
A pluma rematou a tinta.,Eu usei un lapis.,Asinei o meu nome.,effect,0,479,False
O home foi negado un préstamo.,Estaba en débeda.,Comezou un negocio.,cause,0,480,False
A rapaza quedou na casa da escola.,Tiña varicela.,Gustoulle ler a aritmética.,cause,0,481,False
A bolsa de lixo estaba chea.,Enviei á folla.,Boteino baixo a cunca do baño.,effect,0,482,False
Limpei a alfombra.,Os meus compañeiros da habitación botaron unha copa.,O meu can derramouse o pelo.,cause,1,483,False
O home estaba enfadado.,Apagou o ordenador.,Lanzou a cadeira á habitación.,effect,1,484,False
A rapaza lanzou unha folla ao campo de bombeiros.,A folla queimouse.,O lume extinguiuse.,effect,0,485,False
O home saíu da bañeira.,A auga quente desapareceu.,Non viu as toallas.,cause,0,486,False
Os pais querían que os seus fillos fosen á universidade.,Deixaron cartos para obter máis ensinanzas.,Animaron aos seus fillos a xogar fóra.,effect,0,487,False
O home desatou os seus cordóns.,Os zapatos estaban soltos.,Os zapatos estaban sucios.,effect,0,488,False
O home comeu medio pote de carne.,O resto que puxo na neveira.,Mantivo a receita.,effect,0,489,False
O meu nocello estaba inchado.,Puxen xeo.,Eu manguei loción nela.,effect,0,490,False
A porta da miña oficina estaba moi aberta.,Falei cos meus compañeiros na mesa.,Escoitei unha conversa no corredor.,effect,1,491,False
Tiven que esperar na cola.,Sentei.,Lin o xornal.,effect,1,492,False
O home golpeouna cunha mosca.,A mosca voou.,A mosca permaneceu estancada.,effect,0,493,False
O home escribiu unha vontade.,Morría.,Morrera coa súa muller.,cause,0,494,False
O atleta sentiu como se o seu rival estivese máis preto del.,Saíu da competición.,Acelerou.,effect,1,495,False
Pensei con atención o problema.,Pedín consello.,Atopei unha solución.,effect,1,496,False
O viaxeiro pasou por unha ponte suspendida.,Tiña medo.,Estaba feliz.,effect,0,497,False
O home confiou na vitoria do grupo.,Viu ao seu amigo vendo o xogo.,Fai unha aposta co seu amigo.,effect,1,498,False
O rapaz non podía durmir.,Puxo o seu espertador.,Contou as ovellas.,effect,1,499,False
